Pools;Stake;Share
AVENGERS;1850000000;5.17
BINANCE;1440000000;4.04
WAVE;847630000;2.37
ADALITE;703050000;1.97
ETORO;530440000;1.48
EVE;512310000;1.43
MS;462700000;1.29
1PCT;357780000;1
NEW GIRL;347710000;0.97
EDEN;275230000;0.77
SWM;269720000;0.75
NORTH;267900000;0.75
KILN;257550000;0.72
IOG;255500000;0.71
FOO;227940000;0.64
LEO;226340000;0.63
NEW GUY;224480000;0.63
OCEAN;224330000;0.63
SECUR;216670000;0.61
ADV;208710000;0.58
CCV;202490000;0.57
RAY;195990000;0.55
DIGI;195990000;0.55
BLOOM;191510000;0.54
BD;188480000;0.53
EMURGO;182210000;0.51
CRDNS;171800000;0.48
ZZZ;166820000;0.47
SPS;159570000;0.45
AZUR;151240000;0.42
BLANK;142200000;0.40
NEDS;140130000;0.39
ATADA;137480000;0.38
ONYX;135580000;0.38
SIPO;133510000;0.37
HODLA;132470000;0.37
CNODE;131610000;0.37
COOL;124370000;0.35
JAPAN;121220000;0.34
ITC;113000000;0.32
BCSH;112360000;0.31
JAZZ;111430000;0.31
NA;105760000;0.30
BTCS;104580000;0.29
XSP;102200000;0.29
AWP;101900000;0.29
ACL;100390000;0.28
STI;99900000;0.28
AICHI;99130000;0.28
TERA;93090000;0.26
PILOT;92900000;0.26
GOAT;89380000;0.25
PAUL;89210000;0.25
SUNNY;87770000;0.25
CLS;85070000;0.24
VIPER;82710000;0.23
POP;81830000;0.23
KTN;80720000;0.23
NGINE;78640000;0.22
WEP;78010000;0.22
4ADA;75450000;0.21
NOTE;71850000;0.20
BRAVO;70160000;0.20
CCJ;69050000;0.19
CAFE;68910000;0.19
TITAN;68660000;0.19
SPIRE;68310000;0.19
MINSWAP;65900000;0.18
FUN;65200000;0.18
NDE;64560000;0.18
KOPI;62900000;0.18
ADASTAT;62650000;0.18
BEAST;60900000;0.17
QQQ;59840000;0.17
ANGEL;59390000;0.17
KIWI;56550000;0.16
ATLAS;55070000;0.15
SBP;53000000;0.15
TREZOR;52910000;0.15
HRMS;52500000;0.15
P2P;48590000;0.14
LGNS;48430000;0.14
KAIZN;47510000;0.13
DNEWS;47120000;0.13
ZETIC;45850000;0.13
NAP;45690000;0.13
JOY;43950000;0.12
CTEC;41390000;0.12
PS;38180000;0.11
FIMI;37850000;0.11
ADAST;36890000;0.10
NKR;36570000;0.10
CSN;31690000;0.09
MASTR;31000000;0.09
SWIM;29460000;0.08
COPI;28700000;0.08
MUEN;26160000;0.07
LOVE;25820000;0.07
THC;25750000;0.07
NERD;23860000;0.07
ADOSIA;23720000;0.07
WHO KNOWS;23340000;0.07
POWER;22540000;0.06
TANTUM;22340000;0.06
CEX;19930000;0.06
ELITE;19900000;0.06
STACK;18750000;0.05
IBEX;18500000;0.05
KYSN;18120000;0.05
CHEAP;17610000;0.05
WMOPS;17150000;0.05
IAMX;16900000;0.05
JSP;16250000;0.05
LONDN;15060000;0.04
VOLT;14020000;0.04
SCAR;13740000;0.04
GENS;12630000;0.04
KNY;12380000;0.03
CANUK;12180000;0.03
BSSP;11570000;0.03
GIFT;11560000;0.03
DIVY;11110000;0.03
VINCE;10740000;0.03
DSHIN;9580000;0.03
CONGE;9130000;0.03
HUSKY;8420000;0.02
DAN;8290000;0.02
NETA;6140000;0.02
NEIGTH;5800000;0.02
ARCADIA;5720000;0.02
CSWAP;5610000;0.02
CAPEX;5490000;0.02
ZPNG;5210000;0.01
AY;4940000;0.01
DEW;4910000;0.01
UKADA;4610000;0.01
0PCT;4320000;0.01
WIRA;4250000;0.01
AMS;4060000;0.01
VS;3750000;0.01
EEL;3610000;0.01
ACP;2580000;0.01
KTO;2380000;0.01
EMP;2250000;0.01
KID;2220000;0.01
Single 1;3045685;0.01
Single 2;3045685;0.01
Single 3;3045685;0.01
Single 4;3045685;0.01
Single 5;3045685;0.01
Single 6;3045685;0.01
Single 7;3045685;0.01
Single 8;3045685;0.01
Single 9;3045685;0.01
Single 10;3045685;0.01
Single 11;3045685;0.01
Single 12;3045685;0.01
Single 13;3045685;0.01
Single 14;3045685;0.01
Single 15;3045685;0.01
Single 16;3045685;0.01
Single 17;3045685;0.01
Single 18;3045685;0.01
Single 19;3045685;0.01
Single 20;3045685;0.01
Single 21;3045685;0.01
Single 22;3045685;0.01
Single 23;3045685;0.01
Single 24;3045685;0.01
Single 25;3045685;0.01
Single 26;3045685;0.01
Single 27;3045685;0.01
Single 28;3045685;0.01
Single 29;3045685;0.01
Single 30;3045685;0.01
Single 31;3045685;0.01
Single 32;3045685;0.01
Single 33;3045685;0.01
Single 34;3045685;0.01
Single 35;3045685;0.01
Single 36;3045685;0.01
Single 37;3045685;0.01
Single 38;3045685;0.01
Single 39;3045685;0.01
Single 40;3045685;0.01
Single 41;3045685;0.01
Single 42;3045685;0.01
Single 43;3045685;0.01
Single 44;3045685;0.01
Single 45;3045685;0.01
Single 46;3045685;0.01
Single 47;3045685;0.01
