Name;Total_Stake;Relays;Uniq
United States;9680000000;1017;724
Germany;8310000000;866;591
Singapore;1680000000;109;98
Ireland;1520000000;70;44
United Kingdom;1520000000;140;99
Japan;1470000000;141;116
Canada;1310000000;158;109
Finland;1290000000;122;98
Netherlands;1120000000;98;67
Sweden;811410000;39;27
Australia;584010000;57;45
France;583400000;82;65
India;549440000;36;35
Austria;283590000;16;13
South Korea;246520000;42;19
Poland;203690000;27;21
Lithuania;190760000;12;12
Switzerland;170250000;35;23
United Arab E0000irates;104170000;6;5
Brazil;93990000;6;4
Romania;70670000;7;5
New Zealand;57750000;6;6
Italy;44100000;22;12
Spain;28260000;10;8
Kenya;22720000;1;1
South Africa;20550000;8;7
Latvia;20030000;1;1
Czech Republic;18760000;17;9
Chile;18660000;3;2
Argentina;15390000;2;2
Vietnam;14990000;10;7
Saudi Arabia;11690000;1;1
Uruguay;11690000;1;1
Norway;11630000;14;5
China;8270000;4;2
Belgium;7210000;11;6
Ghana;6590000;2;2
Croatia;5490000;1;1
Trinidad and Tobago;4060000;1;1
Israel;3540000;2;2
Hungary;3540000;3;2
Luxembourg;3360000;1;1
Estonia;2830000;2;1
Taiwan;2780000;2;2
Ukraine;2320000;2;1
Slovenia;2210000;7;3
Hong Kong;2190000;10;6
Liechtenstein;1290000;1;1
Russia;1240000;3;2
Malaysia;1200000;5;3
Gibraltar;1200000;1;1
Greece;1180000;3;3
Thailand;1170000;1;1
Indonesia;1010000;2;2
Ethiopia;597860;1;1
Mexico;463420;1;1
Bolivia;385170;1;1
Iceland;222010;2;1
Bulgaria;217310;2;1
Democratic Republic of the Congo;181170;1;1
Philippines;139860;3;3
Portugal;126140;3;2
Denmark;51330;3;1
New Caledonia;45980;1;1
