Source;Summe
Binance;50958895
Coinbase Exchange;8102185
KuCoin;5549787
Kraken;3113260
Bitfinex;385926
Bithumb;127585
Bitstamp;139827
Gemini;21990
PancakeSwap v2 (BSC);21520
Bittrex;10379
OKX;7561504
Bybit;4111680
Gate.io;2280745
Huobi;737789
Poloniex;323218
ProBit Global;15886
Coinlist Pro;2982
Binance TR;2466496
Bitget;1538724
Crypto.com Exchange;577309
Binance.US;613752
Coinone;19855
BKEX;3435385
LBank;1945831
BtcTurk | Pro;2015008
MEXC;1480833
Phemex;646605
Bitvavo;444034
AscendEX (BitMax);279455
Bitkub;68556
CoinEx;53064
Biswap;44680
Tokocrypto;5340
PancakeSwap v3 (BSC);3276
Indodax;2332
WazirX;1372
FMFW.io;5028225
THORChain;157408
BitMart;5926079
Upbit;2111814
Paribu;812195
Pexpay;414866
Bitci TR;184168
Bitbank;31752
Bitpanda Pro;29049
C-Patex;40901
BitTurk;8573
BabySwap;4160
CoinDCX;3356
Nomiswap;782
StellaSwap;387
NovaDAX;337
GOPAX;147
ZebPay;103
Coinmetro;46
BTC Markets;21
Bitexen;3866484
Bitrue;4247659
Cryptonex;797547
BIT;88747
OpenOcean;1070675
WOO X;179441
VALR;40399
Toobit;3052482
BingX;2983656
WhiteBIT;1810233
Coinsbit;1375963
P2B;1506816
BTCEX;894074
DIFX;682167
Pionex;247976
Nominex;65744
Reku;12855
Defi Kingdoms (Klaytn);8366
Biconomy Exchange;5456
SyncSwap;2344
Uniswap v3 (BSC);577
THENA;476
digitalexchange.id;101
Hotcoin Global;23748576
BitForex;22328481
ACE;66989
Tidex;5909033
DigiFinex;2507693
Deepcoin;160804
Zonda (BitBay);2848
Tapbit;637756
HitBTC;5052459
Bibox;1463378
PayBito;37
XT.COM;2260381
Bitay;63641
Dcoin;12333993
BitUBU;2419651
AEX;8501
Korbit;6953
BigONE;1591660
Coinstore;456766
LCX Exchange;34890
Mandala Exchange;1377
ZigZag (zkSync v1);235
WOOFi;2994032
Bitcoiva;585366
Bitazza;85555
LiteBit.eu;430
CoinW;10669101
PointPay;2097136
Cointr Pro;588343
Fameex;513095
Remitano;12743
Felixo;1732190
Azbit;47160
Blofin;9761963
Bit2Me Pro;389688
Bitlo;13058
4swap;2163
ZT;422860
Hotbit;292980
Jubi;601388
Tokenize Xchange;366
LocalTrade;391838
SuperEx;39358064
