Node;Stake;;;247424142.6
NodeID-EZ38CcWHoSyoEfAkDN9zaieJ5Yq64YePY;3000000;;;
NodeID-APrWZpt6HP8qQjvLR9R64BcskxsCfJD6Y;3000000;;;
NodeID-Fg3L1eo53UWpf3J9Y45PK2ksQ1zyqajHL;3000000;;;
NodeID-C3aMR9tsKqTNQra8FbqpFkMgHV5DtuJGx;3000000;;;
NodeID-LL3tKdbQ9qCDRMm4cif2pGsxGDXsNNzBp;3000000;;;
NodeID-7pDhCWQKNrpCjTL6tB7uNvBUnBQ5amgob;2999999.99;;;
NodeID-P6pnhwbrATbNUU2GXcEYCkfryyoBNHyoW;2999980.26;;;
NodeID-BLjWtGBQU3PxgBSMvhiGxHGZ6Scn1gyyB;2999611.09;;;
NodeID-84XTAh1VM9QmfdewNnqFVhz2kbjrFvK4Y;2965936.33;;;
NodeID-6w8o4bbNdVLscimLv4X6BA7QuSqX37TFL;2930027.66;;;
NodeID-5LGFWx2kfwMZXpyG52FkRtrfYfVRimjh5;2823449.85;;;
NodeID-4L5PbNUmQg4kFeyVV4XcySrfgG922vrRN;2823376.64;;;
NodeID-CW1oWgrfSJVz1mbyBGF1qk74XHRQ5vNhF;2819508.04;;;
NodeID-HDZNxDjV5pMCWqQ3k3ULfAKDoPXrepZ3v;2793280.76;;;
NodeID-Jr2wjVqKeLpnyK23Y4EgDpCBf1HJ8XpJg;2785093.96;;;
NodeID-KCQARVq1pjYw31EPSaW9571giKoFH498X;2645850.15;;;
NodeID-hc8RkA8JQsqVHjB3XYzJCKmSeDjbZiSb;2610394.67;;;
NodeID-41G32TrnmUaVZUbWBSA6oyUZLCJoz3m2V;2607977.86;;;
NodeID-2zzp8nVwqw7ssQsMXniESwjwpZYMzeFsa;2605305.85;;;
NodeID-34HkMQ1oU1vf7wNpzY9xWCiazE2tGhyJs;2603953.66;;;
NodeID-DrijBGc9SonJrGUwex3vXtzzEGW3cB5DY;2595353.01;;;
NodeID-5zWQQHoMSd29NfKUMziBuccvtt2aahnHH;2592906.77;;;
NodeID-7LNdeGcBz3QGPzJo4QkVVJxKxLrBmqz9m;2572659.62;;;
NodeID-HHVArJKAdivWLR7kzzJuXaxrdqYH1y8Zy;2561765.97;;;
NodeID-5AzNzec73Pth9Acw6jVd2BYZWyY5KjV6y;2534172.69;;;
NodeID-NHPnCahuSwKS8D6xqVwXN8PgWD7WaYgcX;2525504.31;;;
NodeID-BtPauDeR52DaiZeBXuJSvRWaFnNhVFMSf;2500312.2;;;
NodeID-GCL85wyq71aw2FMRTct2PJ2F4qGQL7WH8;2475212.89;;;
NodeID-N4vaumNTt2kixxUTtWEBgy4vwsxnuahc2;2400402.24;;;
NodeID-D5yA7HbEr8AJ4yzwVZXsDtb4xhKkTRz73;2377978.1;;;
NodeID-5cL4dSEdWWKnzZxvg1rqen4M31YeZhFkf;2361905.89;;;
(Genesis Entities) / 060;2249880.99;;;
(Genesis Entities) / 059;2215554.65;;;
(Genesis Entities) / 084;2100775.08;;;
NodeID-2WfvcQumS36rdyubDSioc8B5YinToKAaf;2064396.64;;;
(Genesis Entities) / 081;2000303.1;;;
(Genesis Entities) / 088;2000000;;;
NodeID-77cf68EUcw4pSLJcvjBNNgxUtxNoTHjNX;2000000;;;
NodeID-4o17gdHmyD1dWGxwez5KqKdyLDfiYmPX9;2000000;;;
NodeID-TgaMGAEpkXKAisumnnmzzRzVkexbSkB7;2000000;;;
NodeID-8e5R9yoryWwUCYDxqKdV3PNPAFme4nZMX;2000000;;;
(Genesis Entities) / 085;2000000;;;
(Genesis Entities) / 087;1984182;;;
NodeID-Ha5u99aoKUdNdTdomp8bQcWHUw8PSF7em;1941996;;;
NodeID-PD54wi24ENhbBnKKhoD68MGXCDc3A3iA8;1901106.52;;;
NodeID-3DwhPYMEQABuocceWDAZEpi8GMcLyvTYy;1885569.68;;;
NodeID-FVgkUobMuUBABuMA2KngEsm2SG9XLGvdW;1776185.32;;;
NodeID-HTGR42bzrh1ifLr91VquVKHsQVU15wiyR;1714417.3;;;
(Genesis Entities) / 086;1656914;;;
NodeID-KH9WnxfcrJLod4JWXHxESehVTAqE5DoLy;1644724.2;;;
NodeID-8GBxP9aLxyfopP6BcYqTSMwvwNg3Lfokp;1634760.5;;;
NodeID-EjJCGURmZ76FsztnHPZMn7AvwSDZXZhsV;1600030.31;;;
NodeID-KRAcashX1MWv1pWqHrNzrU6PWV7nZcKpm;1600000;;;
NodeID-9czFqw5FRq7WhYyf9SBSfq8wsJ1f82m53;1600000;;;
NodeID-62hEBGiabBK34vV52kGT64T6S9QVcdMVN;1576666.98;;;
Ça suit son cours;1551206.27;;;
NodeID-8UynAEU8PuuGetmjiiPcbGmvD3EyycuN6;1548174.08;;;
NodeID-Le5rVEBBPdgYEcEJpvYeKo36hRs75WE5S;1541703.98;;;
(Genesis Entities) / 095;1500193.91;;;
Allnodes / TasMania;1459935.72;;;
NodeID-EqBR9F3QBBrTQTN7CDN7sDEUsDGDdMYps;1458717.18;;;
NodeID-LSoyHgtuX8UGyfz5ydHePK1aXXpSEakUZ;1410137.2;;;
NodeID-69vkfdsq14i5HZSd6m2kUwRAu59ePbeWw;1370805.54;;;
(Genesis Entities) / 091;1361515.59;;;
(Genesis Entities) / 096;1359011.89;;;
NodeID-7AnwdDA9QLTgTwzKoFL7j9wsBvourjD3S;1358309.76;;;
(Genesis Entities) / 092;1357216.4;;;
NodeID-6hAyZe6HS7qKuSuZthSCXeRAMyMPhkouU;1352059.37;;;
(Genesis Entities) / 093;1351654.85;;;
NodeID-2JZva9683sZuXueZvphJfBnZLd9JTmy13;1311803.78;;;
NodeID-313g6SGRoJXgCh4wVo8YpXyhDqkKVG2hs;1307139.86;;;
NodeID-4VQeJ5K3TejLn5xe8Fh819n6cKHZmbDeq;1306087.67;;;
NodeID-BY7yuHu5p3ACidFwi64tUTuEhwi5nQBga;1300000;;;
NodeID-C9Bcji6rXUp22qyWhvYKm4v45hJAkzvpU;1291062.52;;;
NodeID-3kUUeZB7umtaENekUfWxa1bxrAU2eq1AD;1247339.43;;;
NodeID-DVh35F3R11HAAxzeSTbk3eR9w2BzPrJQt;1245242;;;
NodeID-Bom5dUsayGwdagVLoNNxe1t1FFDZXGGK;1235412.83;;;
