Identity;Vote_account;Active_stake
Bison Trails;beefKGBWeSpHzYBHZXwp5So7wdQGX6mu4ZHCsH3uTar;8943726.7157
Staking Facilities;DumiCKHVqoCQKD8roLApzR5Fit8qGV5fVQsJV9sTZk4a;7947555.2585
P2P.ORG - P2P Validator;FKsC411dik9ktS6xPADxs4Fk2SCENvAiuccQHLAPndvk;5925432.0645
Binance Validator;3N7s9zXMZ4QqvHQR15t5GNHyqc89KduzMP7423eWiD5g;5395053.3475
Everstake;9QU2QSxhb24FUX3Tu2FpczXjpK3VYrvRudywSZaM29mF;5350485.4967
Figment;CcaHc2L43ZWjwCHART3oZoJvHLAe9hzT2DJNUpBzoTN1;5340280.6007
a16z Validator;BZpEFk6ANWzLgGn1Pc3xRdquMKW5GKmLpstx3xoPPBm7;4887027.1652
Certus One;CertusDeBmqN8ZawdkxK5kFGMwBXdudvWHYwtNgNhvLu;4886903.7024
Bx7SNaHfyeLZDeja9HPsn61XYjeForHtrTxLCb6cu62o;55bmPBVG1xNHSmQ9iqzvm78Gvr8rE9wiG48MLQgJ1ywA;4690386.4837
Cs23cJMRuahuKh5oNhVmLhM2UrtaZLULLF3HqrxfTnHc;EVw8uChLbfXm6qJnSQkzmmRmcq2YZLFqzL8p5Vb43DvU;4600000.0497
524nvr3JESQpYq5UUD7QMkpuDMg8TyyJBGr5m47jWZfe;4khYzWBsGrBcvhQkA1UZbiMd51MaJ6zGgec563nqeP5A;4369520.0497
Laine ?? stakewiz.com Validator;GE6atKoWiQ2pt3zL7N13pjNHjdLVys8LinG8qeJLcAiL;4353939.4489
Shinobi Systems;BLADE1qNA1uNjRgER6DtUFf7FU3c1TWLLdpPeEcKatZ2;4198204.6488
2qprVNLV2BP3yApsiFgXoArtsX2oqX3hi7XsKo1vSDVP;6BbTNwyvqyuS52eg3q5JGQprCVui8yysKUA6KQheEEPE;4039064.7145
5EhGYUyQNrxgUbuYF4vbL2SZDT6RMfhq3yjeyevvULeC;iZADA4YKVRJZJaDUV3j79DzyK4VJkK3DGTfvvqvbC1K;3674158.9646
VymD Validator;8Pep3GmYiijRALqrMKpez92cxvF4YPTzoZg83uXh14pW;3629418.9741
q9XWcZ7T1wP4bW9SB4XgNNwjnFEJ982nE8aVbbNuwot;26pV97Ce83ZQ6Kz9XT4td8tdoUFPTng8Fb8gPyc53dJx;3240441.3952
SOL Community Validator;3Ty8DYNBkK237zPvACti83EJYGxDcMcoDMCou5r3eV5Q;3234471.935
