Host;Stake;Relays;Uniq
Amazon;7460000000;488;346
Hetzner;2940000000;366;215
Contabo;1860000000;400;241
OVH;1840000000;250;127
DigitalOcean;1480000000;230;127
Google;1450000000;163;99
Shenzhen;859280000;14;14
Akamai;841770000;18;18
netcup;743200000;61;41
Microsoft;680130000;56;40
UpCloud;594330000;18;16
IONOS;415240000;44;29
Vultr;400330000;58;33
The;329130000;24;22
Oracle;297920000;56;35
Telenor;269010000;7;6
Stockholms;268970000;5;5
Fasthosts;268100000;22;21
Strato;234090000;26;23
Zen;228160000;27;7
MICROSOFT-CORP-MSN-AS-BLOCK;226920000;17;11
Interserver;224990000;8;8
Linode;202070000;23;17
UAB;183730000;10;10
Whipcord;167210000;6;5
Mammoth;166260000;10;10
myLoc;145340000;29;17
Frontier;145010000;14;11
KAPPER;138610000;3;3
23M;137730000;5;3
Hosteros;132120000;5;5
Deutsche;116340000;5;5
Vodafone;115200000;22;16
OPTAGE;113020000;18;9
British;104860000;7;7
EMIRATES;103670000;5;4
Sympatico;102320000;14;10
SAKURA;89780000;28;20
noris;89680000;8;4
Datacamp;89490000;7;4
FranTech;89350000;3;3
MEVSPACE;78560000;4;4
Ziggo;76780000;5;4
Solar;71780000;3;3
Think;71490000;1;1
CONRADIT;71290000;1;1
Signet;70160000;6;2
1&1;66680000;1;1
Scaleway;64770000;15;14
Advin;64180000;1;1
Abc-Hosters;64180000;1;1
Strasmore;64180000;8;5
SC;62780000;1;1
TerraTransit;62780000;1;1
MYREPUBLIC;62020000;1;1
Digital;57450000;4;4
Comcast;52770000;39;26
ROMARG;52050000;2;2
Host;51710000;6;3
MVPS;50710000;4;4
Lifeline;49210000;2;1
Telia;48340000;4;4
Bredband2;45410000;1;1
SECURED;45180000;1;1
Limitis;33990000;3;1
Hostwinds;30660000;4;2
GMO;29990000;4;4
Charter;29770000;29;18
VIDOLU;29280000;3;3
TELUS-FIBRE-CLGRAB38;28920000;2;1
Korea;28790000;4;3
TELEFONICA;26620000;4;3
Hohl;26520000;1;1
WorldStream;26410000;5;2
GoDaddy;24890000;3;3
Videotron;24330000;3;3
APNIC;24200000;1;1
MARKTEC;24030000;3;1
HEG;22720000;2;1
OPENCLOUD;20800000;1;1
Telstra;20080000;2;2
SIA;20050000;1;1
Voxility;19930000;4;2
KPN;19850000;14;7
KDDI;19680000;2;2
Shaw;19490000;1;1
TELUS-FIBRE-MTMGPQXQ;19360000;1;1
Virgin;18720000;9;6
Zonterra;18570000;3;2
RAMNODE;18100000;2;1
hosttech;17730000;6;5
CenturyLink;17350000;1;1
Bell;17300000;4;3
Private;17020000;6;3
QUASAR;16920000;2;1
NTT;15720000;4;4
Cambrium;15600000;3;3
Sunrise;15480000;6;3
T-Mobile;15460000;2;2
ColoCrossing;15430000;2;2
WIDEOPENWEST;14820000;1;1
Quickline;14770000;1;1
VNPT;14690000;7;6
NSS;14250000;1;1
CLIENTE;13990000;1;1
TELUS-FIBRE-EDTNABXD;13990000;1;1
Des;13240000;1;1
Telasera;12720000;2;2
Ausgamers;11800000;1;1
TELUS-FIBRE-VANCBC08;10780000;2;1
Wideband;10170000;10;5
GLOBALCONNECT;10150000;5;3
HIVELOCITY;9820000;5;4
Sky;8910000;6;4
Innogy;8880000;1;1
AT&T;8750000;18;14
Tencent;8200000;2;2
Redstation;7960000;4;2
Cloudflare;6950000;6;3
Global;6860000;4;2
Signal;6720000;6;2
PROGRESYVUS;6470000;1;1
Vercel;6180000;4;2
UK;6030000;2;1
Glattwerk;5990000;2;1
LeaseWeb;5870000;4;3
active;5580000;4;2
Telenet;5500000;7;5
Verizon;5490000;17;9
Telemach;5490000;1;1
Sascha;5440000;2;1
BINARY;5180000;1;1
Rogers;5130000;5;4
dataforest;4730000;1;1
Aptitude;4560000;1;1
Columbus;4110000;1;1
Start;3890000;4;2
PSINet;3880000;3;3
Exetel;3750000;1;1
Ziply;3680000;2;2
DIGI;3540000;2;2
G-Core;3360000;1;1
DeinServerHost;3220000;2;1
Telecom;3160000;4;4
Chunghwa;3090000;2;2
Horry;3070000;2;1
Bezeq;3070000;1;1
Suddenlink;2980000;2;2
Swisscom;2860000;8;3
CITIC;2830000;1;1
Interop;2610000;1;1
GLBB;2600000;3;1
