Hosting;No_Validators
TERASWITCH;97
AMAZON-02;41
OVH SAS;411
PACKET;47
WEBNX;301
UAB Cherry Servers;27
AS-CHOOPA;6
Latitude-sh, LATITUDE-SH;38
IS-AS-1;170
UAB Cherry Servers;8
UNITAS;2
RELIABLESITE;46
WorldStream B.V.;83
firstcolo GmbH;1
AMAZON-AES;2
marbis GmbH;2
HOSTING-SOLUTIONS;61
Inetcom LLC;58
HURRICANE;2
MEVSPACE sp. z o.o., Meverywhere sp. z o.o.;62
Tencent Building, Kejizhongyi Avenue;1
RADIOKOMUNIKACE a.s.;1
Amarutu Technology Ltd;20
SERVERS-COM;1
OOO NIIR-RadioNet;19
Latitude.sh LTDA;6
AS-WAVE-1;1
M247 Ltd, M247 Europe SRL;6
HVC-AS;14
IP-Projects GmbH & Co. KG;17
PERFECT-INTERNATIONAL;13
AS-INCX;1
GTT Communications Inc.;2
Ikoula Net SAS;17
ConnetU Ltd.;1
NEXRIL;7
LAYER-HOST-HOUSTON;7
Link Telecom Service Ltd;7
Cosmonova LLC;7
ALLNODES;2
Psittacus Systems LIMITED;2
AS40676;1
CETIN a.s.;2
UAB Cherry Servers;6
myLoc managed IT AG;17
01node Staking Services S.r.l.;1
SERVER-MANIA;4
euNetworks GmbH;1
State Enterprise Scientific and Telecommunication Centre Ukrainian Academic and Research Netw;5
23M GmbH;2
Clouvider Limited;1
JSC ER-Telecom Holding;4
Eurotranstelecom Ltd;4
Hostkey B.v.;5
DNSNETWORKS;1
E-Light-Telecom Ltd.;5
VeloxServ Communications Ltd;2
Blix Solutions AS;1
Kalita Roman Bogdanovych;3
JSC Avantel;3
LEVEL3;2
TerraHost AS;4
SIA BITE Latvija;2
JSC Mediasoft ekspert;2
ORACLE-BMC-31898;2
Opticom Group AO;2
Sibirskie Seti Ltd.;3
JSC Ufanet;2
uvensys GmbH;1
TEXASNET-ASN;1
JSC ER-Telecom Holding;2
Lovitel LLC;2
PVimpelCom;2
Scientific -Industrial Firm Volz Ltd;2
JSC ER-Telecom Holding;2
m.it services & consulting UG;2
JSC ER-Telecom Holding;2
PE Konstantin Vladimirovich Kravchenko;2
Global Layer B.V.;2
31173 Services AB;2
DEDICATED;2
Scalaxy B.V.;2
IP Exchange GmbH;1
JSC ER-Telecom Holding;1
24SHELLS;1
Web Werks India Pvt. Ltd.;1
MWAY;1
TIER-NET;1
GOOGLE;1
I P House Limited;1
K4X OU;1
Calypso IT Services GmbH;1
Filanco LLC;1
Adworlds Technologies Lp;1
Nessus GmbH;1
Verdina Ltd.;1
LLC SETEL;1
JSC ER-Telecom Holding;1
Big Telecom Jsc;1
Business System Telehouse, Ooo;1
COLT Technology Services Group Limited;1
LLC KomTehCentr;1
Daniel Jackson;1
SkyNet Ltd.;1
OVH SAS;1
Rostelecom;1
Limnet , LLC;1
JSC Ukrtelecom;1
JSC ER-Telecom Holding;1
PC Astra-net;1
Hosting Ukraine LTD;1
GORILLASERVERS;1
PJSC Moscow city telephone network;1
STACKPATH;1
MARKLEY-NETWORK-SERVICES;1
CENTURYLINK-US-LEGACY-QWEST;1
Online S.a.s.;1
UnderNet LLC;1
ZEN-ECN;1
Netrouting;1
Mdcloud Ltd;1
TELUS Communications;1
ServeTheWorld AS;1
MIkhail Lavkin;1
GOOGLE-CLOUD-PLATFORM;1
Init7  Ltd.;1
VNPT Corp;1
