Author;Blank
Amir Taaki
Luke Dashjr
Luke Dashjr
Peter Todd
Greg Maxwell
Rusty Russell
Alan Reiner
Gavin Andresen
Gavin Andresen
Gavin Andresen
Amir Taaki
Patrick Strateman
Amir Taaki
Gavin Andresen
Luke Dashjr
Luke Dashjr
Luke Dashjr
Luke Dashjr
Nils Schneider
Matt Corallo
Luke Dashjr
Luke Dashjr
Pieter Wuille
Mike Hearn
Pieter Wuille
Amir Taaki
Gavin Andresen
Jeff Garzik
Stefan Thomas
Mike Hearn
Matt Corallo
Mike Caldwell
Aaron Voisine
Marek Palatinus
Pavol Rusnak
Aaron Voisine
Sean Bowe
Marek Palatinus
Marek Palatinus
Pieter Wuille
Marek Palatinus
Pavol Rusnak
Marek Palatinus
Pavol Rusnak
Manuel Araoz
Ryan X. Charles
Matias Alejo Garcia
Justus Ranvier
Fontaine
Daniel Weigl
Gavin Andresen
Michael Dubrovsky
Bogdan Penkovsky
Amir Taaki
Gavin Andresen
Pieter Wuille
Peter Todd
Mike Hearn;Obsolete Peter Todd
Pieter Wuille
Thomas Kerin
Jean-Pierre Rupp
Ruben de Vries
Mark Friedenbach
BtcDrak
Nicolas Dorier
kinoshitajona
Kristov Atlas
Gavin Andresen
Mike Hearn
Gavin Andresen
Gavin Andresen
Stephen Pair
Toby Padilla
Justin Newton
Matt David
Aaron Voisine
James MacWhyte
Nicolas Dorier
Ryan Havar
Justus Ranvier
Jimmy Song
Justus Ranvier
Jimmy Song
Eric Lombrozo
Pavol Rusnak
Ethan Kosakovsky
Andrew Chow
Robert Spigler
Dmitry Petukhov
Suhas Daftuar
James Hilliard
Leon Olsson Curr
Pearlwort Sneed
Mark Friedenbach
Kalle Alm
BtcDrak
Jorge Timón
Jeff Garzik
Tom Harding
Dagur Valberg Johannsson
Gavin Andresen
Jeff Garzik
Pieter Wuille
t.khan
BtcDrak
Upal Chakraborty
Washington Y. Sanchez
Gavin Andresen
Matt Corallo
Peter Todd
BtcDrak
Mark Friedenbach
Eric Lombrozo
Thomas Kerin
Mark Friedenbach
Johnson Lau
Luke Dashjr
Mark Friedenbach
Kalle Alm
BtcDrak
Mark Friedenbach
Kalle Alm
BtcDrak
Christian Decker
Anthony Towns
Jeremy Rubin
Kalle Rosenbaum
Kalle Rosenbaum
Marco Pontello
Eric Lombrozo
Eric Lombrozo
William Swanson
David A. Harding
Peter Todd
Kristov Atlas
Steven Roose
Hugo Nguyen
Peter Gray
Marko Bencun
Aaron Chen
Rodolfo Novak
Suhas Daftuar
Chris Priest
Andy Chase
Alex Morcos
Flexible Transactions	Tom Zander
Sancho Panza
Велеслав
Jonas Schnelli
Daniel Pape
Christopher Gilliard
Christian Decker
Eric Lombrozo
Johnson Lau
Pieter Wuille
Johnson Lau
Johnson Lau
Pieter Wuille
Eric Lombrozo
Pieter Wuille
Luke Dashjr
Johnson Lau
Pieter Wuille
Johnson Lau
Shaolin Fry
Shaolin Fry
Jonas Schnelli
Jonas Schnelli
Matt Corallo
Karl-Johan Alm
Wladimir J. van der Laan
Brad Denby
Andrew Miller
Giulia Fanti
Surya Bakshi
Shaileshh Bojja Venkatakrishnan
Pramod Viswanath
Olaoluwa Osuntokun
Alex Akselrod
Jim Posen
Olaoluwa Osuntokun
Alex Akselrod
Jonas Schnelli
Luke Dashjr
Pieter Wuille
Greg Maxwell
Andrew Chow
Omar Shibli
Nicholas Gregory
Jimmy Song
Karl-Johan Alm
Emil Engler
Luke Dashjr
Luke Dashjr
Matthew Black
Tony Cai
Sean Bowe
Daira Hopwood
Paul Sztorc
CryptAxe
Paul Sztorc
CryptAxe
Pavel Moravec
Jan Čapek
BtcDrak
Karl-Johan Alm
Dhruv Mehta
Tim Ruffing
Jonas Schnelli
Pieter Wuille
Karl-Johan Alm
Anthony Towns
Chris Belcher
Jonas Nick
Tim Ruffing
Elliott Jin
Craig Raw
Gleb Naumenko
Pieter Wuille
Suhas Daftuar
Suhas Daftuar
Pieter Wuille
Jonas Nick
Tim Ruffing
Pieter Wuille
Jonas Nick
Anthony Towns
Pieter Wuille
Jonas Nick
Anthony Towns
Shinobius
Michael Folkson
Pieter Wuille
Alfred Hodler
Clark Moody
Andrew Chow
Andrew Chow
Maxim Orlovsky
Pieter Wuille
Andrew Chow
Pieter Wuille
Andrew Chow
Pieter Wuille
Andrew Chow
Pieter Wuille
Andrew Chow
Pieter Wuille
Andrew Chow
Pieter Wuille
Andrew Chow
Pieter Wuille
Andrew Chow;
